Penyanyi,Judul,Lirik
angi marito,tak segampang itu,waktu demi waktu hari demi hari sadar ku t'lah sendiri kau t'lah pergi jauh tinggalkan diriku ternyata ku rindu senyuman yang s'lalu membungkus hati yang terluka di depan mereka tuhan masih pantaskah ku tuk bersamanya karna hati ini inginkannya tak segampang itu ku mencari penggantimu tak segampang itu ku menemukan sosok seperti dirimu cinta kau tahu betapa besar cinta yang kutanamkan padamu mengapa kau memilih untuk berpisah ho terlalu besar kutaruh harapan pada dirimu itu alasanku lama tanpa dirimu oh mereka yang bilang ku akan dapat lebih darimu tak mungkin semua itu tak mudah oh ku mencari penggantimu tak segampang itu ku menemukan sosok seperti dirimu oh cinta kau tahu betapa besar cinta yang kutanamkan padamu mengapa kau memilih untuk berpisah ku mencari penggantimu ho sosok seperti dirimu cinta kau tahu betapa besar cinta yang kutanamkan padamu mengapa kau memilih untuk berpisah kau memilih untuk berpisah
mahalini,sial,"sampai saat ini tak terpikir olehku aku pernah beri rasa pada orang sepertimu seandainya sejak awal tak kuyakinkan diriku tutur kata yang sempurna, tak sebaik yang kukira andai ku tahu semua akan sia-sia takkan kut'rima cinta sesaatmu bagaimana dengan aku terlanjur mencintaimu? yang datang beri harapan, lalu pergi dan menghilang tak terpikirkan olehmu, hatiku hancur kar'namu tanpa sedikit alasan, pergi tanpa berpamitan takkan kut'rima cinta sesaatmu seandainya sejak awal tak kuyakinkan diriku tutur kata yang sempurna, tak sebaik yang kukira andai ku tahu semua akan sia-sia takkan kut'rima cinta sesaatmu bagaimana dengan aku terlanjur mencintaimu? yang datang beri harapan, lalu pergi dan menghilang tak terpikirkan olehmu, hatiku hancur kar'namu tanpa sedikit alasan, pergi tanpa berpamitan takkan kut'rima cinta sesaatmu sial-sialnya ku bertemu dengan cinta semu (semu) tertipu tutur dan caramu seolah cintaiku (cintaiku) puas kaucurangi aku? (aku) bagaimana dengan aku terlanjur mencintaimu? (cintaimu) yang datang beri harapan, lalu pergi dan menghilang tak terpikirkan olehmu (terpikirkan olehmu) hatiku hancur kar'namu tanpa sedikit alasan, pergi tanpa berpamitan takkan kut'rima cinta sesaatmu"
ghea indrwari,jiwa yang bersedih,ta da ta da kemarilah singgah dulu sebentar perjalananmu jauh tak ada tempat berteduh menangislah kan kau juga manusia mana ada yang bisa berlarut-larut berpura-pura sempurna sampaikan pada jiwa yang bersedih begitu dingin dunia yang kau huni jika tak ada tempatmu kembali bawa lukamu biar aku obati tidak kah letih kakimu berlari ada hal yang tak mereka mengerti beri waktu tuk bersandar sebentar selama ini kau hebat hanya kau tak didengar ho oh menangislah kan kau juga manusia mana ada yang bisa berlarut-larut berpura-pura sempurna sampaikan pada jiwa yang bersedih begitu dingin dunia yang kau huni jika tak ada tempatmu kembali bawa lukamu biar aku obati tidak kah letih kakimu berlari ada hal yang tak mereka mengerti beri waktu tuk bersandar sebentar selama ini kau hebat hanya kau tak didengar uh uh oh oh sampaikan pada jiwa yang bersedih begitu dingin dunia yang kau huni jika tak ada tempatmu kembali bawa lukamu biar aku obati tidak kah letih kakimu berlari ada hal yang tak mereka mengerti beri waktu tuk bersandar sebentar selama ini kau hebat hanya kau tak didengar ah tak didengar tidak kah letih kakimu berlari ada hal yang tak mereka mengerti beri waktu tuk bersandar sebentar selama ini kau hebat hanya kau tak didengar selama ini kau hebat kau pasti kan didengar
virgound,saat kau telah mengerti,"nak, bila suatu saat kaudengarkan lagu ini dan aku sudah tak ada lagi di sampingmu kau akan mengerti mengapa begitu menyebalkannya ku di matamu nak, jika saat nanti kau telah hidup sendiri dan dunia ternyata tak seperti harapanmu ku ada di sini menjadi rumah yang s'lalu menanti kepulanganmu kelak kau 'kan jadi orang tua seperti akuy yang ingin anakmu bahagia dengan hidupnya bila bentakan kecilku patahkan hatimu lebih keras dari itu dunia 'kan menghakimimu kubentuk dirimu menjadi engkau hari ini kau harus kuat, kau harus hebat permata hatiku nak, 'kan tiba waktu kau harus tentukan jalanmu yang mungkin tak searah dan indah di mataku 'pabila terjadi berjanjilah kau akan s'lalu menjadi dirimu sendiri kelak kau 'kan jadi orang tua seperti aku yang ingin anakmu berkuasa atas hidupnya bila bentakan kecilku patahkan hatimu lebih keras dari itu dunia 'kan menghakimimu kubentuk dirimu menjadi engkau hari ini kau harus kuat, kau harus hebat permata hatiku bila bentakan kecilku patahkan hatimu lebih keras dari itu dunia 'kan menghakimimu kubentuk dirimu menjadi engkau hari ini kau harus kuat, kau harus hebat aku adalah jemari dan ibumu pena-nya dan kaulah puisi terindah yang pernah tercipta semoga belaian kasihku lembutkan hatimu kau harus megah, kau harus indah kau harus kuat, kau harus hebat permata hatiku"
tiara andini,usai,"mungkin inilah waktunya mungkin inilah saatnya aku mengerti rasa sesal saat ada yang pergi menghilang kau datang mengukir luka yang sayang 'tuk dilupakan kau pergi tanpa mengajarkan cara 'tuk merelakanmu usai sudah semua cerita yang t'lah kita ukir berdua meninggalkan dirimu adalah hal terberat yang harus kujalani aku memang kehilangan kamu yang sangat kucintai namun, kau telah kehilangan aku yang sangat mencintaimu uh-oh ku akan terus belajar 'tuk melupakan kamu yang begitu mudah melupakanku ho-oh usai sudah semua cerita yang t'lah kita ukir berdua meninggalkan dirimu adalah hal terberat yang harus kujalani aku memang kehilangan kamu yang sangat kucintai namun, kau telah kehilangan aku yang sangat mencintaimu oh-ho (yang t'lah kita ukir berdua) uh-oh-uh-oh meninggalkan dirimu adalah hal terberat yang harus kujalani aku memang kehilangan kamu yang sangat kucintai namun, kau telah kehilangan aku yang sangat mencintaimu, hu-oh aku yang sangat mencintaimu"
paul damiie,secrets,"i know what's to be sacred, always knew i know a lot of secrets, don't know you and everyone's gone now, just the two of us i know a lot of secrets, but don't know you biting my lips, longing for you searching for the room with open doors, we close them everything we do can be a secret that we keep, a secret that we keep i just want your love, your love your love can take me higher i just want your love, it's enough so we can start a fire i just want your love, your love your love can take me higher i just want your love, it's enough so we can start a fire i know what's to be sacred, always knew i know a lot of secrets, don't know you and everybody's gone now, just the two of us i know a lot of secrets, but don't know you but it made me bite at my lips, longing for you searching for the room with open doors, we close them everything we do can be a secret that we keep, a secret that we keep i just want your love, your love your love can take me higher i just want your love, it's enough so we can start a fire i just want your love, your love your love can take me higher i just want your love, it's enough so we can start a fire so we can start a fire"
"lyodra, andi rianto",sang dewi,walaupun jiwaku pernah terluka hingga nyaris bunuh diri wanita mana yang sanggup hidup sendiri di dunia ini walaupun t'lah kututup mata hati begitupun telingaku namun bila di kala cinta memanggilmu dengarlah ini walaupun dirimu tak bersayap ku akan percaya kau mampu terbang bawa diriku tanpa takut dan ragu walaupun mulutku pernah bersumpah sudi lagi jatuh cinta wanita seperti diriku pun ternyata mudah menyerah walaupun kau bukan titisan dewa ku takkan kecewa karena kau jadikanku sang dewi dalam taman surgawi ho ho ho walaupun dirimu tak bersayap ku akan percaya kau mampu terbang bawa diriku tanpa takut dan ragu walaupun kau bukan titisan dewa ku takkan kecewa karena kau jadikanku sang dewi dalam taman surgawi
"justin bieber, mariah carey",all i want for christmas is you,"i don't want a lot for christmas there is just one thing i need i don't care about the presents underneath the christmas tree i just want you for my own more than you could ever know make my wish come true all i want for christmas is you yeah i don't want a lot for christmas there is just one thing i need (and i) don't care about the presents underneath the christmas tree i don't need to hang my stocking there upon the fireplace santa claus won't make me happy with a toy on christmas day i just want you for my own more than you could ever know make my wish come true all i want for christmas is you you, baby oh, i won't ask for much this christmas i won't even wish for snow (and i) i'm just gonna keep on waiting underneath the mistletoe i won't make a list and send it to the north pole for saint nick i won't even stay awake to hear those magic reindeer click 'cause i just want you here tonight holding on to me so tight what more can i do? oh, baby, all i want for christmas is you you, baby oh-oh, all the lights are shining so brightly everywhere (so brightly, baby) and the sound of children's laughter fills the air (oh, oh, yeah) and everyone is singing (oh, yeah) i hear those sleigh bells ringing santa, won't you bring me the one i really need? (yeah, oh) won't you please bring my baby to me? oh, i don't want a lot for christmas this is all i'm asking for i just wanna see my baby standing right outside my door oh, i just want you for my own more than you could ever know make my wish come true oh, baby, all i want for christmas is you you, baby all i want for christmas is you, baby all i want for christmas is you, baby all i want for christmas is you, baby all i want for christmas (all i really want) is you, baby all i want (i want) for christmas (all i really want) is you, baby"
wham!,last christmas,"last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special once bitten and twice shy i keep my distance, but you still catch my eye tell me baby, do you recognize me? well, it's been a year, it doesn't surprise me happy christmas, i wrapped it up and sent it with a note saying ""i love you"", i meant it now i know what a fool i've been but if you kissed me now, i know you'd fool me again last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special ooh oh, oh, baby a crowded room, friends with tired eyes i'm hiding from you and your soul of ice my god, i thought you were someone to rely on me? i guess i was a shoulder to cry on a face on a lover with a fire in his heart a man under cover, but you tore me apart oh, oh now i've found a real love you'll never fool me again last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special, special last christmas i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special special a face on a lover with a fire in his heart (i gave you mine) a man under cover but you tore him apart maybe next year i'll give it to someone i'll give it to someone special special so long"
brenda lee,rockin' around the christmas tree,"well, goodbye joe, me gotta go, me oh, my oh me gotta go, pole the pirogue down the bayou my yvonne the sweetest one, me oh, my oh son of a gun, we'll have big fun on the bayou well, jambalaya and a crawfish pie and fillet gumbo 'cause tonight i'm gonna see my ma cher amio i'm gonna pick guitar, fill fruit jar and be gay-o well, son of a gun we'll have big fun on the bayou thibodaux fontaineaux the place is buzzin' kinfolks come to see yvonne by the dozen yeah, dressed in style and go hog wild, me oh, my oh well, son of a gun we'll have big fun on the bayou well, jambalaya and a crawfish pie and fillet gumbo 'cause tonight i'm gonna see my ma cher amio i'm gonna pick guitar, fill fruit jar and be gay-o well, son of a gun we'll have big fun on the bayou settle down far from town get me a pirogue and i'll catch all the fish in the bayou gonna spend my money gettin' yvonne what she need-o son of a gun we'll have big fun on the bayou ell, jambalaya and a crawfish pie and fillet gumbo cause tonight i'm gonna see my ma cher amio i'm gonna pick guitar, fill fruit jar and be gay-o well, son of a gun we'll have big fun on the bayou"
